"TimeGenerated","Computer","EventID","Account","LogonType","IpAddress","IpPort","TargetUserName","TargetDomainName","Status","SubStatus","FailureReason","ProcessName","ShareName","RelativeTargetName","AccessMask"
"2025-11-03T14:59:04.8094049Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55079","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:04.8093495Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:04.8092566Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:03.4512525Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55078","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:03.4512118Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:03.4511437Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:03.380859Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55077","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:03.3808052Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:03.3807171Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:03.3088449Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55076","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:03.3088035Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:03.3087405Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:03.1924944Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55075","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:03.1924386Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:03.1923471Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:01.8191674Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55074","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:01.8191266Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:01.8190598Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:01.7480509Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55073","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:01.7479918Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:01.7479037Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:01.672852Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55072","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:01.6728104Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:01.6727414Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:01.5122425Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55071","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:01.5121804Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:01.5120845Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:00.1427983Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55065","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:00.1427569Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:00.142685Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:59:00.0636666Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55064","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:59:00.0636045Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:59:00.0635125Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:59.9819262Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55063","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:59.9818864Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:59.9818251Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:59.8763191Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55062","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:59.8762603Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:59.8761688Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:58.5252755Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55061","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:58.5252349Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:58.5251659Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:58.4537346Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55060","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:58.4536745Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:58.4535873Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:58.3502651Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55059","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:58.3502252Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:58.3501596Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:58.2472555Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55058","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:58.2472024Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:58.2471153Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:56.8653883Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55057","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:56.8653474Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:56.8652792Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:56.7950742Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55056","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:56.7950136Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:56.794924Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:56.714753Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55055","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:56.7147139Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:56.7146515Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:56.608958Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55054","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:56.6089009Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:56.6088017Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:55.2501157Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55052","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:55.2500761Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:55.2500093Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:55.178206Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55051","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:55.1781479Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:55.1780667Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:55.1056072Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55050","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:55.105565Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:55.1054944Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:54.9906129Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55049","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:54.9905578Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:54.9904653Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:53.631986Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55048","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:53.6319453Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:53.6318769Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:53.5607694Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55047","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:53.5607112Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:53.5606248Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:53.4901297Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55046","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:53.4900826Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:53.4900117Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:53.3729234Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55045","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:53.3728581Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:53.3727562Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:51.9863335Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55044","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:51.9862919Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:51.9862236Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:51.9158405Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55043","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:51.9157804Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:51.9156939Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:51.8410691Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55042","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:51.8410297Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:51.8409681Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:51.7288525Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55041","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:51.7287934Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:51.7287013Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:50.3686819Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55040","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:50.3686411Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:50.3685735Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:50.2935106Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55039","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:50.293452Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:50.2933677Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:50.2151049Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55038","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:50.2150665Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:50.2150052Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:50.1017156Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55037","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:50.1016589Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:50.1015663Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:48.7196965Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55036","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:48.719648Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:48.7195713Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:48.6472312Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55035","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:48.6471673Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:48.6470802Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:48.5741813Z","vm-db-1","4624","vm-db-1\azureadmin","3","10.0.1.4","55034","azureadmin","vm-db-1","","","","-","","",""
"2025-11-03T14:58:48.5741275Z","vm-db-1","4672","vm-db-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:48.5740363Z","vm-db-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:48.4449659Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55033","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:48.4448998Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:48.444794Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:46.942328Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55032","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:46.9422852Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:46.9422107Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:46.8598299Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55031","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:46.8597767Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:46.8596867Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:46.7774798Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55030","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:46.7774334Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:46.7773576Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:46.6749285Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55029","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:46.6748757Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:46.6747826Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:45.2679671Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55023","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:45.2679206Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:45.2678391Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:45.1742512Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55022","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:45.1741874Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:45.1740889Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:45.0919407Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55021","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:45.0918928Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:45.0918048Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:44.9738296Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55020","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:44.973773Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:44.9736758Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:43.4128092Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55019","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:43.4127306Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:43.4125998Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:43.3286243Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55018","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:43.3285594Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:43.3284632Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:43.2465891Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55017","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:43.2465433Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:43.2464657Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:43.1391089Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55016","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:43.1390559Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:43.1389601Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
"2025-11-03T14:58:41.6936927Z","vm-app-1","4624","vm-app-1\azureadmin","3","10.0.1.4","55015","azureadmin","vm-app-1","","","","-","","",""
"2025-11-03T14:58:41.6936503Z","vm-app-1","4672","vm-app-1\azureadmin",,"","","","","","","","","","",""
"2025-11-03T14:58:41.6935788Z","vm-app-1","4776","",,"","","azureadmin","","0x0","","","","","",""
