"TimeGenerated","Computer","EventID","Account","LogonType","IpAddress","IpPort","TargetUserName","TargetDomainName","Status","SubStatus","FailureReason","ProcessName","ShareName","RelativeTargetName","AccessMask"
"2025-11-04T07:24:42.3137578Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T07:24:42.3137384Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T07:08:36.2650376Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T07:08:36.2650184Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:55:55.1802428Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:55:55.1802225Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:54:15.1354066Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:54:15.1353883Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:54:03.872943Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:54:03.8729239Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:54:01.7527644Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:54:01.7527447Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:51:56.3354248Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:51:56.3354025Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:51:12.5629885Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:51:12.5629678Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:50:43.963459Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:50:43.963439Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:49:01.7751652Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:49:01.7751452Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:46:00.8372687Z","vm-db-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:46:00.8372459Z","vm-db-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:45:33.4349393Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:45:33.4349201Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:45:26.8662885Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:45:26.8662255Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:43:52.4619514Z","vm-app-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:43:52.4619301Z","vm-app-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
"2025-11-04T06:38:57.3380553Z","vm-web-1","4672","NT AUTHORITY\SYSTEM",,"","","","","","","","","","",""
"2025-11-04T06:38:57.3380352Z","vm-web-1","4624","NT AUTHORITY\SYSTEM","5","-","-","SYSTEM","NT AUTHORITY","","","","C:\Windows\System32\services.exe","","",""
